Cpu,Ram,Weight,Price,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,No
93,16,1.8,5971.356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
67,8,2.2,1675.656,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,16,2.5,3385.944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,4,2.1,1201.464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,4,1.86,689.976,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.63,2163.168,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,4,1.65,740.5654,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,16,2.8,3718.944,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,2.5,2472.192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
67,8,2.36,1702.269,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,4,2.2,1196.136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.6,2354.976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,4,2.2,1523.808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,8,2.05,1593.072,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.63,2632.032,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34,4,1.9,672.287,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
69,8,3,2498.832,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,4,2.2,1329.336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67,4,1.32,1862.136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,4,3,1744.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,8,1.75,2973.077,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
93,8,2.4,2315.016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
61,4,2.1,1603.728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8,4,1.86,983.016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
97,8,1.25,2927.736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,8,0.97,5365.296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34,4,2,916.416,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.9,5405.256,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
49,4,2.1,1190.808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,16,2.56,3328.029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,8,2.62,2394.936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,4,1.9,1326.672,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
93,16,2.8,5034.96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
72,4,1.48,2882.448,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
75,6,1.91,1649.016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
